transaction_id,amount,event_type,classified_reason,confidence,action_taken,explanation,recovered,amount_recovered
TXN1066,11709.54,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1067,13774.43,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1068,14258.09,subscription_failed,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1069,13473.54,subscription_failed,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,13473.54
TXN1070,7346.27,failed_payment,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,False,0.0
TXN1071,4897.69,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,4897.69
TXN1072,1103.8,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1073,5933.73,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1074,11339.11,subscription_failed,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1075,3408.41,subscription_failed,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1076,10904.09,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1077,8939.61,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1078,4013.32,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1079,11317.35,subscription_failed,issuer_declined,low,escalate_to_human,Failure reason unclear; routed to human review instead of guessing.,True,11317.35
TXN1080,3479.7,failed_payment,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,False,0.0
TXN1081,12612.55,subscription_failed,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1082,7055.75,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,True,7055.75
TXN1083,11700.21,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,True,11700.21
TXN1084,8700.58,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1085,1663.23,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,True,1663.23
TXN1086,11772.13,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",True,11772.13
TXN1087,12766.2,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1088,10653.53,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1089,11653.43,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,True,11653.43
TXN1090,12486.36,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,12486.36
TXN1091,5145.49,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1092,5204.03,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1093,7405.38,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1094,3440.71,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1095,6468.73,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1096,1941.74,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,True,1941.74
TXN1097,3363.31,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1098,14710.58,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1099,2029.76,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1100,1673.43,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1101,3899.3,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1102,2403.15,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1103,11669.05,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1104,4684.9,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1105,4079.99,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1106,6216.49,failed_payment,bank_timeout,high,retry_immediately,Transient technical failure; safe to retry right away.,True,6216.49
TXN1107,1207.02,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,True,1207.02
TXN1108,1854.43,subscription_failed,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1109,11920.53,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1110,7582.01,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1111,9115.15,subscription_failed,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1112,8707.27,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1113,6622.89,failed_payment,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1114,12887.34,failed_payment,issuer_declined,high,escalate_to_human,"Bank declined the payment; automatic retries risk more declines, so a human should review.",False,0.0
TXN1115,694.95,subscription_failed,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
TXN1116,12400.17,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,True,12400.17
TXN1117,5522.42,failed_payment,insufficient_funds,high,retry_in_48h,Funds often replenish within 1-2 days (e.g. salary credit); scheduled a delayed retry.,False,0.0
TXN1118,6656.02,failed_payment,network_error,high,retry_immediately,Transient technical failure; safe to retry right away.,False,0.0
TXN1119,8329.96,checkout_abandoned,abandoned,high,send_checkout_reminder,Customer left without paying; a gentle reminder often recovers the sale.,False,0.0
TXN1120,14213.85,subscription_failed,card_expired,high,notify_customer_update_card,"Card is expired; retrying won't help, so we ask the customer to update it.",False,0.0
